f1_macro,precision_scam,recall_scam,f1_scam,average_precision,balanced_accuracy,model,fold
0.4725274725274725,0.0,0.0,0.0,0.10416666666666667,0.5,dummy_prior,0
0.4725274725274725,0.0,0.0,0.0,0.10416666666666667,0.5,dummy_prior,1
0.4724938875305624,0.0,0.0,0.0,0.10428736964078796,0.5,dummy_prior,2
0.4724938875305624,0.0,0.0,0.0,0.10428736964078796,0.5,dummy_prior,3
0.4724938875305624,0.0,0.0,0.0,0.10428736964078796,0.5,dummy_prior,4
0.9784005399865003,0.9560439560439561,0.9666666666666667,0.9613259668508287,0.9886787233934311,0.9807493540051679,word_lr,0
0.9598867171177863,0.9230769230769231,0.9333333333333333,0.9281767955801105,0.9881375023173612,0.9621447028423773,word_lr,1
0.9844174885252769,0.9775280898876404,0.9666666666666667,0.9720670391061452,0.9972056936077973,0.9820396722725313,word_lr,2
0.9663808704213281,0.9247311827956989,0.9555555555555556,0.9398907103825137,0.9822395034462931,0.9732499640649706,word_lr,3
0.9641839360318734,0.8979591836734694,0.9777777777777777,0.9361702127659575,0.9785147309645561,0.9824205835848785,word_lr,4
0.9844195750727627,0.9775280898876404,0.9666666666666667,0.9720670391061452,0.9961461937582622,0.9820413436692507,char_lr,0
0.9719552351309729,0.9550561797752809,0.9444444444444444,0.9497206703910615,0.9941533085252833,0.9696382428940569,char_lr,1
0.9845697223265211,0.967032967032967,0.9777777777777777,0.9723756906077348,0.9959721369349956,0.9869483972976858,char_lr,2
0.9751904556561737,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9902886373135092,0.9751904556561737,char_lr,3
0.975666835842779,0.9361702127659575,0.9777777777777777,0.9565217391304348,0.9921070342079762,0.9850079057064827,char_lr,4
0.9813953488372094,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9968097245292311,0.9813953488372094,word_char_lr,0
0.9719552351309729,0.9550561797752809,0.9444444444444444,0.9497206703910615,0.9962846303428068,0.9696382428940569,word_char_lr,1
0.9875952278280868,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9987586384039261,0.9875952278280868,word_char_lr,2
0.9781844839353877,0.9662921348314607,0.9555555555555556,0.9608938547486033,0.9906863425207942,0.9758372861865747,word_char_lr,3
0.9786060084499361,0.946236559139785,0.9777777777777777,0.9617486338797814,0.9924143110089677,0.9856547362368837,word_char_lr,4
