f1_macro,precision_scam,recall_scam,f1_scam,average_precision,balanced_accuracy,model,fold
0.9589074548921261,0.9056603773584906,0.9504950495049505,0.927536231884058,0.9857645107274268,0.9687875764320618,word_lr_v02,0
0.9801554516619202,0.9795918367346939,0.9504950495049505,0.964824120603015,0.9826262255671718,0.9739555350883926,word_lr_v02,1
0.9753406878650227,0.9339622641509434,0.9801980198019802,0.9565217391304348,0.996123956226092,0.9855711961881828,word_lr_v02,2
0.9595753406494464,0.8909090909090909,0.9702970297029703,0.9289099526066351,0.9502471887221868,0.9773865484866727,word_lr_v02,3
0.9667022249314233,0.9320388349514563,0.9504950495049505,0.9411764705882353,0.9782475990646028,0.9707197110396679,word_lr_v02,4
0.9860686980362436,0.9705882352941176,0.9801980198019802,0.9753694581280788,0.9947949184768663,0.9881610254048661,char_lr_v02,0
0.9804961772507412,0.9607843137254902,0.9702970297029703,0.9655172413793104,0.9937817734151481,0.9825645355233197,char_lr_v02,1
0.9803246212377029,0.97,0.9603960396039604,0.9651741293532339,0.9982741018321755,0.978257528210777,char_lr_v02,2
0.9751323838578632,0.9423076923076923,0.9702970297029703,0.9560975609756097,0.9895001064826325,0.9812675316690789,char_lr_v02,3
0.983062015503876,0.9797979797979798,0.9603960396039604,0.97,0.9854706259889411,0.9789043587411781,char_lr_v02,4
0.9779918506967151,0.9428571428571428,0.9801980198019802,0.9611650485436893,0.993937506027218,0.986223040908742,word_char_lr_v02,0
0.9803275424041831,0.97,0.9603960396039604,0.9651741293532339,0.995675088898119,0.9782600353058561,word_char_lr_v02,1
0.983208023260282,0.9702970297029703,0.9702970297029703,0.9702970297029703,0.9985661700367732,0.983208023260282,word_char_lr_v02,2
0.9753406878650227,0.9339622641509434,0.9801980198019802,0.9565217391304348,0.983714442179678,0.9855711961881828,word_char_lr_v02,3
0.983062015503876,0.9797979797979798,0.9603960396039604,0.97,0.9856879239955366,0.9789043587411781,word_char_lr_v02,4
